domain,ipv4,ipv6,cname,status,checked_at
www.mim.gov.zm,41.215.183.61,,,OK,2025-12-13T13:28:49+02:00
www.mlgrd.gov.zm,41.215.183.56,,,OK,2025-12-13T13:28:50+02:00
www.mlss.gov.zm,41.215.183.61,,,OK,2025-12-13T13:28:50+02:00
www.mmmd.gov.zm,41.215.183.60,,,OK,2025-12-13T13:28:51+02:00
www.moe.gov.zm,154.120.217.113,,,OK,2025-12-13T13:28:52+02:00
www.mofaic.gov.zm,41.215.183.56,,,OK,2025-12-13T13:28:52+02:00
www.mofnp.gov.zm,41.215.183.55,,,OK,2025-12-13T13:28:53+02:00
www.moh.gov.zm,41.215.183.82,,,OK,2025-12-13T13:28:54+02:00
www.mohais.gov.zm,41.215.183.55,,,OK,2025-12-13T13:28:54+02:00
www.mohe.gov.zm,154.120.217.112,,,OK,2025-12-13T13:28:55+02:00
www.moj.gov.zm,41.215.183.55,,,OK,2025-12-13T13:28:56+02:00
www.mot.gov.zm,41.215.183.60,,,OK,2025-12-13T13:28:57+02:00
www.mota.gov.zm,154.120.217.127,,,OK,2025-12-13T13:28:57+02:00
www.mots.gov.zm,41.215.183.61,,,OK,2025-12-13T13:28:58+02:00
www.msmed.gov.zm,,,,NXDOMAIN,2025-12-13T13:29:00+02:00
www.mu.ac.zm,41.63.16.31,,,OK,2025-12-13T13:29:00+02:00
www.muc.gov.zm,41.215.183.58,,,OK,2025-12-13T13:29:01+02:00
www.mukuba.ac.zm,,,,NXDOMAIN,2025-12-13T13:29:02+02:00
www.mwds.gov.zm,41.215.183.61,,,OK,2025-12-13T13:29:03+02:00
www.mwsc.com.zm,mwsc.com.zm.,mwsc.com.zm.,mwsc.com.zm,OK,2025-12-13T13:29:03+02:00
www.napsa.co.zm,vyy7u4h.ng.impervadns.net.,vyy7u4h.ng.impervadns.net.,vyy7u4h.ng.impervadns.net,OK,2025-12-13T13:29:03+02:00
www.natsave.co.zm,92.204.218.59,,,OK,2025-12-13T13:29:04+02:00
www.ncz.co.zm,185.151.30.193,,,OK,2025-12-13T13:29:05+02:00
www.ndolacouncil.gov.zm,165.56.40.98,,,OK,2025-12-13T13:29:05+02:00
www.nhcc.org.zm,,,,NXDOMAIN,2025-12-13T13:29:06+02:00
www.nhima.co.zm,xlahjgx.ng.impervadns.net.,xlahjgx.ng.impervadns.net.,xlahjgx.ng.impervadns.net,OK,2025-12-13T13:29:06+02:00
www.nipa.ac.zm,155.0.14.112,,,OK,2025-12-13T13:29:07+02:00
www.nor.gov.zm,41.215.183.62,,,OK,2025-12-13T13:29:07+02:00
www.nrfa.org.zm,165.56.48.28,,,OK,2025-12-13T13:29:08+02:00
www.nwasco.org.zm,31.22.4.234,,,OK,2025-12-13T13:29:10+02:00
www.nwp.gov.zm,,,,NXDOMAIN,2025-12-13T13:29:10+02:00
www.ovp.gov.zm,41.215.183.59,,,OK,2025-12-13T13:29:11+02:00
www.pacra.org.zm,pacra-test-website.azurewebsites.net.,pacra-test-website.azurewebsites.net.,pacra-test-website.azurewebsites.net,OK,2025-12-13T13:29:11+02:00
www.parliament.gov.zm,41.77.146.98,,,OK,2025-12-13T13:29:12+02:00
www.pia.org.zm,102.23.123.62,,,OK,2025-12-13T13:29:12+02:00
www.rda.org.zm,rda.org.zm.,rda.org.zm.,rda.org.zm,OK,2025-12-13T13:29:13+02:00
www.rea.org.zm,162.241.224.179,,,OK,2025-12-13T13:29:13+02:00
www.rtsa.org.zm,41.175.8.225,,,OK,2025-12-13T13:29:14+02:00
www.seczambia.org.zm,50.6.3.226,,,OK,2025-12-13T13:29:15+02:00
www.sh.gov.zm,165.56.3.214,,,OK,2025-12-13T13:29:15+02:00
www.sou.gov.zm,41.215.183.62,,,OK,2025-12-13T13:29:16+02:00
www.statehouse.gov.zm,,,,NXDOMAIN,2025-12-13T13:29:18+02:00
www.szi.gov.zm,41.215.183.55,,,OK,2025-12-13T13:29:18+02:00
www.tcz.ac.zm,154.120.217.132,,,OK,2025-12-13T13:29:19+02:00
www.times.co.zm,165.56.48.29,,,OK,2025-12-13T13:29:19+02:00
www.unza.zm,41.63.1.33,,,OK,2025-12-13T13:29:20+02:00
www.warma.org.zm,165.56.48.28,,warma.org.zm,OK,2025-12-13T13:29:21+02:00
www.wes.gov.zm,41.215.183.62,,,OK,2025-12-13T13:29:22+02:00
www.workers.com.zm,196.46.215.165,,,OK,2025-12-13T13:29:22+02:00
www.zabs.org.zm,193.26.156.33,,,OK,2025-12-13T13:29:23+02:00
www.zacl.co.zm,5.77.36.174,,,OK,2025-12-13T13:29:23+02:00
www.zaffico.co.zm,zaffico.co.zm.,zaffico.co.zm.,zaffico.co.zm,OK,2025-12-13T13:29:24+02:00
www.zambezira.org,139.84.238.34,,,OK,2025-12-13T13:29:25+02:00
www.zambiaimmigration.gov.zm,zamimmigration.azurewebsites.net.,zamimmigration.azurewebsites.net.,zamimmigration.azurewebsites.net,OK,2025-12-13T13:29:25+02:00
www.zamra.co.zm,192.185.87.120,,,OK,2025-12-13T13:29:26+02:00
www.zamstats.gov.zm,41.63.0.22,,,OK,2025-12-13T13:29:27+02:00
